tweet_id,feed,posted_at,snapshot_at,snapshot_impressions,current_at,current_impressions,current_likes,author_followers
2078224562840371458,xxl_dump,2026-07-17T21:05:21+00:00,2026-07-18T14:28:26.183+00:00,22235,2026-07-22T10:02:00.901Z,24242,345,193125
2078225230946853262,xxl_dump,2026-07-17T21:08:01+00:00,2026-07-18T14:28:26.183+00:00,3811,2026-07-22T10:05:48.608Z,4068,62,4737
2078226007891272083,xxl_dump,2026-07-17T21:11:06+00:00,2026-07-18T14:28:26.183+00:00,7,2026-07-22T10:05:51.148Z,7,0,130
2078226775784452352,xxl_dump,2026-07-17T21:14:09+00:00,2026-07-18T14:28:26.183+00:00,11326,2026-07-22T10:02:00.901Z,12141,20,658592
2078227695226269999,xxl_dump,2026-07-17T21:17:48+00:00,2026-07-18T14:28:26.183+00:00,31,2026-07-22T10:05:48.608Z,32,0,8
2078228293828964831,xxl_dump,2026-07-17T21:20:11+00:00,2026-07-18T14:28:26.183+00:00,20051,2026-07-22T10:05:51.148Z,22208,467,36104
2078228976107966969,xxl_dump,2026-07-17T21:22:54+00:00,2026-07-18T14:28:26.183+00:00,26,2026-07-22T10:02:00.901Z,29,0,293
2078229558805876881,xxl_dump,2026-07-17T21:25:13+00:00,2026-07-18T14:28:26.183+00:00,16,2026-07-22T10:05:48.608Z,19,0,51
2078230444584165839,xxl_dump,2026-07-17T21:28:44+00:00,2026-07-18T14:28:26.183+00:00,1824,2026-07-22T10:05:51.148Z,3126,57,25180
2078230900614353069,xxl_dump,2026-07-17T21:30:33+00:00,2026-07-18T14:28:26.183+00:00,811,2026-07-22T10:02:00.901Z,971,24,2512
2078231600215863450,xxl_dump,2026-07-17T21:33:19+00:00,2026-07-18T14:28:26.183+00:00,22,2026-07-22T10:05:48.608Z,23,1,6511
2078232259841454546,xxl_dump,2026-07-17T21:35:57+00:00,2026-07-18T14:28:26.183+00:00,4603,2026-07-22T10:05:51.148Z,5307,53,76521
2078232877628629361,xxl_dump,2026-07-17T21:38:24+00:00,2026-07-18T14:28:26.183+00:00,40261,2026-07-22T10:02:00.901Z,55689,5817,394489
2078233705244766307,xxl_dump,2026-07-17T21:41:41+00:00,2026-07-18T14:28:26.183+00:00,1743,2026-07-22T10:02:03.629Z,2033,149,24309
2078234588455817695,xxl_dump,2026-07-17T21:45:12+00:00,2026-07-18T14:28:26.183+00:00,10584,2026-07-22T10:05:51.148Z,11916,38,5153660
2078235315903377853,xxl_dump,2026-07-17T21:48:05+00:00,2026-07-18T14:28:26.183+00:00,201,2026-07-22T10:02:00.901Z,225,5,128
2078236219142455723,xxl_dump,2026-07-17T21:51:41+00:00,2026-07-18T14:28:26.183+00:00,155972,2026-07-22T10:02:03.629Z,197637,1582,757084
2078236802616541564,xxl_dump,2026-07-17T21:54:00+00:00,2026-07-18T14:28:26.183+00:00,5445,2026-07-22T10:05:51.148Z,7772,147,11295
2078237593284595810,xxl_dump,2026-07-17T21:57:08+00:00,2026-07-18T14:28:26.183+00:00,83,2026-07-22T10:02:00.901Z,100,10,307
2078238329389412434,xxl_dump,2026-07-17T22:00:04+00:00,2026-07-18T14:28:26.183+00:00,226,2026-07-22T10:02:03.629Z,339,3,2600
2078239045755494594,xxl_dump,2026-07-17T22:02:54+00:00,2026-07-18T14:28:26.183+00:00,18194,2026-07-22T10:05:51.148Z,22660,183,93075
